county_code,county,ntl_mean,ntl_sum,ntl_max,ntl_median,year
130928,吴桥县,0.616140793,1847.649182,12.80024624,0.0,2024
320509,吴江区,10.43338666,59718.1276,71.07878876,6.242645822,2024
610626,吴起县,0.747698129,14209.04412,59.27717972,0.629794909,2024
530114,呈贡区,12.38153372,27831.2115,128.0163422,4.46008769,2024
350925,周宁县,0.587812632,2757.226205,35.49201965,0.0,2024
370306,周村区,5.250527762,8025.997918,35.58288193,2.884689903,2024
610124,周至县,0.519996438,7411.417467,60.40946579,0.0,2024
230111,呼兰区,1.111738975,14007.13069,75.98019409,0.001653461,2024
652323,呼图壁县,0.24444364,13020.33171,190.4939423,0.062640154,2024
232721,呼玛县,0.00636906,1324.141513,17.02521896,0.0,2024
340523,和县,1.567013266,9710.154402,48.11622238,0.896854788,2024
654226,和布克赛尔蒙古自治县,0.065397577,10891.09088,628.3101807,0.031037414,2024
210102,和平区,42.12721166,13598.49872,115.5426331,40.68503316,2024
120101,和平区,85.92706805,4416.651298,118.4961243,86.88650706,2024
441624,和平县,0.290297503,2916.847832,39.41184616,0.0,2024
622925,和政县,0.653595437,1942.962379,29.81213188,0.0,2024
150123,和林格尔县,0.4281761,7723.039173,24.37404823,0.0,2024
653221,和田县,0.03531325,7152.938194,43.49601364,2.3e-06,2024
653201,和田市,5.359642712,12507.85074,84.13076782,1.739017268,2024
652828,和硕县,0.099548852,6785.010025,72.10108185,0.000815,2024
652827,和静县,0.044831936,8505.472883,87.61877441,0.000881,2024
140723,和顺县,0.269953004,2994.669135,42.90511703,0.0,2024
222406,和龙市,0.053829023,1474.845154,15.09041214,0.0,2024
422826,咸丰县,0.200089565,2360.972911,40.32121277,0.0,2024
421202,咸安区,1.406207729,9763.945461,34.47817612,0.0,2024
654324,哈巴河县,0.086449876,4230.261258,65.93228912,0.001139793,2024
320921,响水县,1.976806093,13094.35581,239.1503143,0.180929257,2024
130627,唐县,0.668368828,4868.859847,20.67597198,0.0,2024
411328,唐河县,0.534664043,6373.333775,31.82154274,0.0,2024
611023,商南县,0.088560551,977.195872,6.459319115,0.0,2024
411524,商城县,0.222737031,2215.334652,25.21301079,0.0,2024
611002,商州区,0.475536237,6075.527419,82.77002716,0.010053908,2024
411623,商水县,1.270866807,7762.932903,48.43874359,0.884261125,2024
370126,商河县,1.773592309,10366.04889,43.37722015,0.887165633,2024
150923,商都县,0.140578944,3224.44655,25.61959457,0.0,2024
653101,喀什市,5.156040933,26829.12537,155.1029663,1.413269473,2024
211324,喀喇沁左翼蒙古族自治县,0.569272505,6749.781496,47.60748672,0.0,2024
150428,喀喇沁旗,0.356469652,5888.84091,55.83506775,0.0,2024
513432,喜德县,0.161336947,1621.404054,36.88382721,0.0,2024
710006,嘉义县,3.254751157,27827.40762,42.83480453,1.87423448,2024
710005,嘉义市,23.04353639,6194.464049,59.73392868,18.60011164,2024
330421,嘉善县,10.01804251,23214.27954,63.19914627,6.115572992,2024
310114,嘉定区,23.69663526,50759.86542,105.1508865,21.22897228,2024
620200,嘉峪关市,2.332545289,14888.10604,75.05888367,0.000931,2024
370829,嘉祥县,2.30325817,11025.74202,61.23253632,1.36327149,2024
431024,嘉禾县,0.631368901,1967.097901,30.6805172,0.0,2024
230722,嘉荫县,0.022013263,905.4596438,15.36097622,0.0,2024
511304,嘉陵区,1.326793918,7233.872955,74.95808411,0.0,2024
421221,嘉鱼县,1.034994255,4939.755641,42.99185562,0.0,2024
540621,嘉黎县,0.007076551,431.4298083,20.08786201,0.0,2024
542523,噶尔县,0.044798254,3821.977662,135.4187317,0.004489653,2024
632725,囊谦县,0.011077567,632.7057369,15.76237869,0.0,2024
441284,四会市,3.606320676,19983.59869,76.17928314,1.225505673,2024
150929,四子王旗,0.024513556,3187.783801,35.99005508,0.0,2024
230505,四方台区,0.820419066,946.8890777,18.18417358,0.0,2024
150103,回民区,11.01810497,11382.43698,113.2465973,1.275180752,2024
421121,团风县,0.832667472,3209.067783,27.29471207,0.0,2024
130828,围场满族蒙古族自治县,0.09705133,4719.660619,42.16108322,0.0,2024
411525,固始县,0.652893335,9027.586873,44.39198685,0.0,2024
131022,固安县,4.326406127,15781.88124,81.44100952,2.22236015,2024
340323,固镇县,0.830608567,5418.06294,32.95800018,0.0,2024
150222,固阳县,0.202438866,5249.242175,104.0419464,0.006020006,2024
222402,图们市,0.186912411,1160.489318,24.52037811,0.0,2024
659003,图木舒克市,1.374875551,14286.64456,88.05402374,7.42e-05,2024
150221,土默特右旗,0.433535918,5298.50258,42.06752777,0.0,2024
150121,土默特左旗,1.231282373,17994.27928,63.96743774,0.0,2024
370704,坊子区,2.074352941,9238.16743,29.25767899,1.315697584,2024
440804,坡头区,3.449609884,7706.644926,37.75033188,2.119109645,2024
440310,坪山区,19.53423281,14105.4014,76.86336517,19.79265404,2024
140827,垣曲县,0.325909193,2575.545322,29.36492538,0.0,2024
370505,垦利区,1.813356353,17233.4561,64.80471039,0.791586875,2024
500231,垫江县,0.70575888,4984.462221,38.49821091,0.0,2024
341302,埇桥区,2.098691266,29532.88226,61.66600418,0.876221058,2024
630102,城东区,14.66317822,8148.759408,90.8228302,4.707638949,2024
630103,城中区,8.658408322,6755.799491,79.07639313,2.226742828,2024
450202,城中区,13.07540323,4341.238976,62.79974365,5.880104541,2024
620102,城关区,8.545600571,13017.89874,76.75402832,2.246659786,2024
540102,城关区,8.663890117,20726.98108,174.9219971,0.098578701,2024
630105,城北区,13.96548685,9304.464537,68.37424469,7.281305671,2024
441502,城区,5.527678926,9567.50178,58.04201126,2.629405293,2024
140502,城区,16.32276611,11459.41395,120.1654434,8.236231077,2024
140302,城区,25.2558222,1971.241683,52.31296539,22.67600632,2024
350302,城厢区,3.958184079,8488.985455,103.3985519,1.293583106,2024
500229,城口县,0.076586975,1201.354709,21.19263268,0.0,2024
610722,城固县,0.466291377,4961.579796,52.23512268,0.0,2024
230306,城子河区,1.166071352,1168.655,25.84704781,0.0,2024
430529,城步苗族自治县,0.09190387,1072.034139,19.4292202,0.0,2024
630104,城西区,29.01370012,7600.906756,147.7813721,7.573057062,2024
370214,城阳区,15.39888473,40484.63415,80.08222961,11.2416566,2024
710004,基隆市,12.70430233,7569.821178,91.85214996,6.706404227,2024
540103,堆龙德庆区,0.918660758,11336.50072,104.7627258,0.00606271,2024
653131,塔什库尔干塔吉克自治县,0.013768268,1637.553572,21.26781845,0.0,2024
654201,塔城市,0.46340272,10469.11065,81.19886017,0.002461466,2024
232722,塔河县,0.01067538,988.1414172,13.18718529,0.0,2024
440118,增城区,5.732469365,40488.52104,91.78677368,2.22821799,2024
530822,墨江哈尼族自治县,0.066158376,1530.889524,43.37251282,0.0,2024
653222,墨玉县,0.056938217,7387.958322,49.01496124,0.0,2024
540127,墨竹工卡县,0.226700115,5768.273301,70.88050079,0.004412292,2024
540423,墨脱县,0.014121722,2038.643139,34.44394684,3.65e-06,2024
