year,gdp_per_capita,county_code,gdp,gdp_density,county,economy_unit,match_status,gb,year_display
2024,,140427,69.06,,壶关县,亿元,matched,156140427,2024
2024,,140428,268.1949,,长子县,亿元,matched,156140428,2024
2024,,140429,87.7242,,武乡县,亿元,matched,156140429,2024
2024,,140430,45.7804,,沁县,亿元,matched,156140430,2024
2024,,140431,291.4669,,沁源县,亿元,matched,156140431,2024
2024,,140502,,,城区,亿元,no_data,156140502,2024
2024,,140521,433.2963,,沁水县,亿元,matched,156140521,2024
2024,,140522,411.5111,,阳城县,亿元,matched,156140522,2024
2024,,140524,82.8411,,陵川县,亿元,matched,156140524,2024
2024,,140525,585.3587,,泽州县,亿元,matched,156140525,2024
2024,,140581,447.1964,,高平市,亿元,matched,156140581,2024
2024,,140602,,,朔城区,亿元,no_data,156140602,2024
2024,,140603,,,平鲁区,亿元,no_data,156140603,2024
2024,,140621,174.3129,,山阴县,亿元,matched,156140621,2024
2024,,140622,99.1118,,应县,亿元,matched,156140622,2024
2024,,140623,101.6733,,右玉县,亿元,matched,156140623,2024
2024,,140681,235.604,,怀仁市,亿元,matched,156140681,2024
2024,,140702,,,榆次区,亿元,no_data,156140702,2024
2024,,140703,,,太谷区,亿元,no_data,156140703,2024
2024,,140721,56.3642,,榆社县,亿元,matched,156140721,2024
2024,,140722,80.3512,,左权县,亿元,matched,156140722,2024
2024,,140723,106.8589,,和顺县,亿元,matched,156140723,2024
2024,,140724,180.349,,昔阳县,亿元,matched,156140724,2024
2024,,140725,264.0412,,寿阳县,亿元,matched,156140725,2024
2024,,140727,137.1491,,祁县,亿元,matched,156140727,2024
2024,,140728,175.8197,,平遥县,亿元,matched,156140728,2024
2024,,140729,375.5674,,灵石县,亿元,matched,156140729,2024
2024,,140781,429.8452,,介休市,亿元,matched,156140781,2024
2024,,140802,,,盐湖区,亿元,no_data,156140802,2024
2024,,140821,190.7023,,临猗县,亿元,matched,156140821,2024
2024,,140822,96.7318,,万荣县,亿元,matched,156140822,2024
2024,,140823,165.029,,闻喜县,亿元,matched,156140823,2024
2024,,140824,120.8376,,稷山县,亿元,matched,156140824,2024
2024,,140825,158.8658,,新绛县,亿元,matched,156140825,2024
2024,,140826,79.625,,绛县,亿元,matched,156140826,2024
2024,,140827,98.1107,,垣曲县,亿元,matched,156140827,2024
2024,,140828,78.1615,,夏县,亿元,matched,156140828,2024
2024,,140829,69.0052,,平陆县,亿元,matched,156140829,2024
2024,,140830,141.7487,,芮城县,亿元,matched,156140830,2024
2024,,140881,172.2048,,永济市,亿元,matched,156140881,2024
2024,,140882,419.5153,,河津市,亿元,matched,156140882,2024
2024,,140902,,,忻府区,亿元,no_data,156140902,2024
2024,,140921,72.1398,,定襄县,亿元,matched,156140921,2024
2024,,140922,62.4106,,五台县,亿元,matched,156140922,2024
2024,,140923,42.3238,,代县,亿元,matched,156140923,2024
2024,,140924,74.1318,,繁峙县,亿元,matched,156140924,2024
2024,,140925,128.0021,,宁武县,亿元,matched,156140925,2024
2024,,140926,52.923,,静乐县,亿元,matched,156140926,2024
2024,,140927,38.7932,,神池县,亿元,matched,156140927,2024
2024,,140928,43.0646,,五寨县,亿元,matched,156140928,2024
2024,,140929,48.2634,,岢岚县,亿元,matched,156140929,2024
2024,,140930,193.1824,,河曲县,亿元,matched,156140930,2024
2024,,140931,126.3704,,保德县,亿元,matched,156140931,2024
2024,,140932,34.2141,,偏关县,亿元,matched,156140932,2024
2024,,140981,171.3569,,原平市,亿元,matched,156140981,2024
2024,,141002,,,尧都区,亿元,no_data,156141002,2024
2024,,141021,152.1661,,曲沃县,亿元,matched,156141021,2024
2024,,141022,114.7474,,翼城县,亿元,matched,156141022,2024
2024,,141023,148.9781,,襄汾县,亿元,matched,156141023,2024
2024,,141024,228.7773,,洪洞县,亿元,matched,156141024,2024
2024,,141025,84.4557,,古县,亿元,matched,156141025,2024
2024,,141026,123.0242,,安泽县,亿元,matched,156141026,2024
2024,,141027,49.3286,,浮山县,亿元,matched,156141027,2024
2024,,141028,83.1275,,吉县,亿元,matched,156141028,2024
2024,,141029,233.2497,,乡宁县,亿元,matched,156141029,2024
2024,,141030,28.097,,大宁县,亿元,matched,156141030,2024
2024,,141031,49.3145,,隰县,亿元,matched,156141031,2024
2024,,141032,35.2902,,永和县,亿元,matched,156141032,2024
2024,,141033,189.1752,,蒲县,亿元,matched,156141033,2024
2024,,141034,45.1048,,汾西县,亿元,matched,156141034,2024
2024,,141081,212.1274,,侯马市,亿元,matched,156141081,2024
2024,,141082,128.1299,,霍州市,亿元,matched,156141082,2024
