county_code,pop_total,pop_density,year
620702,537260,146.6715,2024
540623,34425,3.8306,2024
540624,40118,0.9218,2024
540625,21563,0.8409,2024
540626,46579,7.948,2024
150724,143939,7.7174,2024
140902,579560,291.6146,2024
150723,435850,7.9702,2024
150722,297592,28.7923,2024
540621,34330,2.627,2024
150721,295936,26.6802,2024
540622,63781,5.4574,2024
230828,269813,78.8769,2024
500120,620270,677.7207,2024
500116,1316474,408.9081,2024
230826,215666,96.8032,2024
530828,524072,59.9807,2024
610922,184957,122.0536,2024
500115,818766,576.5566,2024
530829,95468,76.0373,2024
610923,76303,20.8255,2024
500114,467544,196.7044,2024
530826,129655,37.9041,2024
500113,988917,542.4564,2024
530827,143990,76.3779,2024
610921,261628,191.7129,2024
230822,497657,112.726,2024
530824,310092,41.2752,2024
500119,568222,219.5418,2024
140921,230848,270.8894,2024
530825,222247,53.5137,2024
500118,1082500,685.1441,2024
140922,318510,110.94,2024
530822,380009,71.8819,2024
150703,92585,343.73,2024
500117,1359220,583.8946,2024
140923,228338,132.079,2024
530823,382314,85.838,2024
421102,384009,1064.6089,2024
530821,197020,53.6949,2024
610929,171457,119.1537,2024
610926,203310,76.9308,2024
610927,53631,36.1097,2024
610924,303924,137.3739,2024
610925,160418,82.6639,2024
640302,416508,377.1025,2024
650109,370971,109.0859,2024
650107,43316,9.0914,2024
640303,200722,72.7868,2024
650106,158104,572.8966,2024
650105,407007,1475.4548,2024
411303,904526,889.0338,2024
650104,732513,2791.3205,2024
650103,761276,1803.8126,2024
650102,725568,4254.4346,2024
500112,1476300,1015.3463,2024
500111,770252,537.8847,2024
411302,1018894,1053.2292,2024
500110,1125206,410.4394,2024
653201,325132,700.322,2024
330383,374358,2502.0328,2024
131182,604882,482.8888,2024
420222,880235,317.5171,2024
320581,1602122,1255.0365,2024
513422,139359,10.5571,2024
320104,1116390,22240.8763,2024
513426,370576,115.9358,2024
320105,434167,5473.9282,2024
320102,584965,7780.0858,2024
513424,226790,98.7603,2024
513423,375278,44.6707,2024
320585,752168,918.4712,2024
513429,174684,103.9237,2024
320582,1318551,1342.7243,2024
513428,164773,86.4648,2024
320583,1733856,1860.1204,2024
513427,168069,101.4576,2024
150702,366408,279.348,2024
410423,834928,346.802,2024
330381,1508475,1196.7519,2024
210811,149184,691.5867,2024
410425,598482,825.9063,2024
330382,1466500,1133.5047,2024
410422,803744,577.4602,2024
320106,1420743,25546.5575,2024
410421,529719,727.9042,2024
230407,44706,1542.5873,2024
820000,530811,21104.0652,2024
230406,187549,43.1463,2024
230405,76249,604.7919,2024
230404,139032,4496.5071,2024
230403,159361,13196.0292,2024
230402,100598,11885.898,2024
370828,667258,751.4893,2024
442000,3313859,1885.9852,2024
370829,835758,858.7888,2024
230883,136097,21.6683,2024
230882,471775,57.3582,2024
220602,395842,287.3276,2024
230881,191392,30.668,2024
220605,256791,190.4376,2024
513433,374720,84.8181,2024
513432,179552,81.3852,2024
370826,669548,401.3371,2024
513431,271173,100.5465,2024
370827,465066,716.6582,2024
513430,163869,104.5189,2024
370831,568004,507.4986,2024
513437,228978,81.1398,2024
370832,791935,820.7436,2024
513436,230315,91.6217,2024
513435,206157,95.9499,2024
513434,286222,126.9057,2024
370830,725818,817.1312,2024
210802,285291,3343.956,2024
210804,456819,1675.9261,2024
210803,213256,773.3563,2024
632725,90880,7.5409,2024
632724,33516,0.4154,2024
632723,59426,4.0651,2024
632722,62267,1.7523,2024
420684,541915,256.6215,2024
420683,1065321,325.4639,2024
420682,496837,467.6999,2024
632726,28404,0.6092,2024
420205,59474,2126.0728,2024
420204,190605,3061.9838,2024
420203,252926,2193.7257,2024
420202,237910,7602.6202,2024
622922,241519,315.1056,2024
450981,1201396,489.2846,2024
341022,240698,113.4283,2024
622921,294264,287.8945,2024
341023,85797,100.1661,2024
622924,242157,451.7543,2024
622923,192121,100.6351,2024
341021,435546,204.5209,2024
341024,167978,75.6436,2024
410402,418331,3204.6961,2024
410404,59014,1655.1817,2024
410403,329144,3114.1705,2024
410882,480273,807.3387,2024
622926,300146,198.6536,2024
622925,193882,320.7131,2024
450503,167621,363.1378,2024
410883,380810,754.9564,2024
622927,251884,274.7838,2024
450502,352169,3257.4236,2024
652323,227210,23.8707,2024
652324,252616,27.4156,2024
652325,225302,13.5239,2024
430482,861254,420.4561,2024
430481,1220241,460.5564,2024
652327,120878,14.8474,2024
652328,68151,5.044,2024
340181,827270,404.2201,2024
320115,1216734,787.6774,2024
320116,964439,647.7647,2024
320113,676981,1747.569,2024
370811,1298067,1509.9325,2024
320114,428528,3170.2731,2024
370812,670353,1029.9554,2024
320111,775663,837.7727,2024
500152,686378,431.2691,2024
429021,80532,25.0374,2024
500151,639253,477.2634,2024
440282,335264,145.6145,2024
440281,420908,175.519,2024
450512,145913,358.2339,2024
500156,374447,129.2652,2024
500155,729165,389.2803,2024
410411,302901,1651.7605,2024
320117,445973,421.0729,2024
500154,1236077,309.3754,2024
320118,441674,560.2271,2024
500153,708356,650.3617,2024
632301,98160,30.6702,2024
630123,145121,93.707,2024
361003,464607,366.3043,2024
361002,1158806,544.7245,2024
341881,414293,167.9702,2024
620321,248968,55.2765,2024
341882,521341,243.0504,2024
540202,127778,34.8566,2024
630121,463738,146.6219,2024
610502,939557,744.0197,2024
610503,339845,300.7927,2024
520602,281434,277.5683,2024
530402,525780,552.9168,2024
520603,148541,176.3535,2024
440705,898778,667.576,2024
530403,298205,370.033,2024
440704,285091,2624.2217,2024
440703,734409,2265.4919,2024
430903,756939,590.5738,2024
430902,568989,992.8433,2024
610981,451455,127.7461,2024
510802,552035,358.9498,2024
630102,378187,3395.8238,2024
653222,508035,20.0107,2024
630103,305657,1953.9711,2024
653223,250895,6.4327,2024
653224,247714,17.5304,2024
653225,156510,4.9551,2024
630106,468269,191.5489,2024
653226,265002,6.7892,2024
653227,36022,0.6352,2024
630104,259681,4949.0007,2024
630105,326434,2448.5886,2024
131128,365329,524.4059,2024
131127,570335,478.7254,2024
131126,523933,541.3358,2024
540227,44916,3.2169,2024
510811,184826,129.2674,2024
540228,44904,16.0005,2024
510812,186461,117.0754,2024
540229,29779,14.0469,2024
620302,242503,79.4298,2024
540223,53978,3.8915,2024
131121,419680,464.2928,2024
540224,50182,8.7314,2024
540225,52340,11.6613,2024
540226,54967,2.0008,2024
131125,353138,713.1607,2024
131124,295762,516.6148,2024
540221,79589,9.8207,2024
131123,228151,514.7619,2024
540222,67495,17.5405,2024
131122,341424,409.5522,2024
653221,306769,7.4727,2024
610526,782666,495.2247,2024
610527,305079,310.4358,2024
610524,465190,355.0363,2024
610525,408841,364.42,2024
530428,230528,84.8094,2024
610522,154337,356.1947,2024
520621,185491,98.9738,2024
610523,732456,434.0998,2024
130281,786810,516.8645,2024
520622,128477,247.3707,2024
530426,172955,89.4885,2024
520623,324214,149.6936,2024
411381,1551559,659.9096,2024
530427,307146,72.023,2024
520624,534248,241.2832,2024
530424,244911,196.6268,2024
520625,299961,152.063,2024
530425,189871,124.5913,2024
520626,390909,188.7019,2024
532601,508197,171.5493,2024
520627,478250,192.7713,2024
530423,319673,433.523,2024
520628,509598,179.5288,2024
640381,281643,154.6477,2024
210381,1365210,531.7307,2024
610528,797359,638.5735,2024
421182,679406,552.8139,2024
421181,908037,252.8661,2024
510822,233671,73.4671,2024
510823,482756,150.7081,2024
510821,408740,137.1325,2024
130284,596251,580.0358,2024
510824,604763,259.5269,2024
130283,769380,626.3185,2024
220182,1225548,262.557,2024
220184,1163679,280.8172,2024
220183,790736,262.0359,2024
330783,845467,483.53,2024
330784,756716,723.2523,2024
330302,1362579,4642.076,2024
230811,338402,203.466,2024
330781,596239,453.6901,2024
330782,1321308,1198.7832,2024
330303,720456,2455.0879,2024
330304,1075090,2309.0207,2024
330305,141428,945.1248,2024
320981,1048345,421.5977,2024
340111,852651,2885.9552,2024
445122,917395,545.2903,2024
320508,988743,12089.0526,2024
320509,1322775,1081.9176,2024
320506,1800984,737.0688,2024
320507,724229,1469.5256,2024
131103,385273,421.0515,2024
320505,827229,2068.9266,2024
